"trigger_id","required_evidence","current_state","acceptance_gate","shortcut_policy"
"RT-01","Complete and unique Sleeper ID population in an approved canonical identity table","BLOCKED_ZERO_USABLE_IDS_IN_TRACKED_FIXTURE","Aggregate audit proves complete unique stable in-scope coverage","NO_SHORTCUT"
"RT-02","Clean-checkout identity audit","BLOCKED_NO_EXACT_SOURCE_TO_NWR_PROOF","Hermetic exact-ID audit proves blanks duplicates ambiguity and fallbacks are zero","NO_SHORTCUT"
"RT-03","Approved DST and draft-pick scope or explicit V1 exclusion authority","BLOCKED_SCOPE_AND_IDENTITY_UNSETTLED","Human-approved stable contracts or explicit denominator-aware exclusions","NO_SHORTCUT"
"RT-04","Versioned typed roster snapshot schema","BLOCKED_DOCUMENTATION_ONLY_34_FIELD_CONTRACT","Closed implemented schema with provenance validation and compatibility tests","NO_SHORTCUT"
"RT-05","Typed runtime league and lineup configuration","BLOCKED_RUNTIME_CONFIG_INCOMPLETE","Typed canonical lineup flex bench phase IR kicker DST scoring and taxi missingness","NO_SHORTCUT"
"RT-06","Approved LocalData pack or equivalent clean-checkout test evidence","BLOCKED_MISSING_LOCAL_TEST_PACK_EXIT_4","Approved no-copy pack or accepted equivalent exact-ID evidence is reproducible","NO_SHORTCUT"
"RT-07","Privacy and lifecycle approval","BLOCKED_FUTURE_CONTRACT_ONLY","Approved bounded storage redaction retention deletion and immutable rollback rules","NO_SHORTCUT"
"RT-08","Exact-ID unresolved and duplicate handling","BLOCKED_NOT_IMPLEMENTED","Tests prove visible partial state and calculation rejection for duplicates","NO_SHORTCUT"
"RT-09","Source-as-of and retained-data contract","BLOCKED_NO_ROSTER_RECEIPT","Approved timestamp ownership stale threshold latest-success and last-known-good behavior","NO_SHORTCUT"
"RT-10","Clean Hermetic and LocalData verification","BLOCKED_LOCALDATA_UNAVAILABLE","Hermetic passes and LocalData separately reports its true approved-pack result","NO_SHORTCUT"
