"artifact_name","owning_lane","output_path","grain","required_inputs","required_columns","required_guardrails","allowed_use","prohibited_use","model_use_allowed","training_allowed","source_truth_allowed","experiment_allowed_after_build","required_hq_gate_after_build","notes"
"point_in_time_snapshot_manifest_v1","Data Hygiene","docs/hq/data_sources/nflverse_point_in_time_snapshot_manifest_v1_YYYYMMDD/point_in_time_snapshot_manifest.csv","dataset-feature-anchor","nflverse_point_in_time_snapshot_feasibility_v1_20260630; nflverse_model_candidate_readiness_matrix_v1_20260630","dataset_id|feature_family|prediction_anchor|source_snapshot_id|source_extraction_timestamp|feature_as_of_timestamp|season|week|row_count|identity_safe_count|gated_count|missingness_policy|leakage_status|approval_status","No raw/shared tracking; exclude unresolved identity rows; missing stays Not enough information; no replay approval","review evidence for future HQ point-in-time gate","model input; training input; source truth; app wiring; experiment execution","false","false","false","false","Point-in-Time Snapshot HQ Gate","Builds manifest evidence only; no replay/model approval."
"prediction_anchor_contract_v1","Data Hygiene","docs/hq/data_sources/nflverse_point_in_time_snapshot_manifest_v1_YYYYMMDD/prediction_anchor_contract.md","feature-family-anchor","historical_replay_leakage_evidence_v1_20260630; experiment_only_gate_requirements","feature_family|anchor_name|anchor_definition|allowed_window|excluded_future_window|censoring_rule|missingness_rule","Anchor definitions must prevent future information and post-outcome leakage","review evidence for future replay design","recommendations; matchup strength; start/sit; playoff odds; trade timing","false","false","false","false","Point-in-Time Snapshot HQ Gate","Required before any feature replay request."
"feature_replay_window_matrix_v1","Data Hygiene","docs/hq/data_sources/nflverse_point_in_time_snapshot_manifest_v1_YYYYMMDD/feature_replay_window_matrix.csv","feature-family-season-week","source_timestamp_inventory.csv; feature_snapshot_feasibility_matrix.csv","feature_family|season|week|candidate_window_start|candidate_window_end|source_available_at_anchor|future_information_risk|backfill_risk|safe_for_replay_now","All safe flags must remain false unless a later gate approves; current display is not replay safety","review-only leakage planning","experiment approval; model approval; source truth","false","false","false","false","Historical Replay HQ Gate","May identify candidates; cannot mark experiment-safe in builder lane."
"identity_safe_join_manifest_v1","Data Hygiene","docs/hq/data_sources/nflverse_point_in_time_snapshot_manifest_v1_YYYYMMDD/identity_safe_join_manifest.csv","player-source-anchor","nflverse_player_context_display_20260630; identity bridge health evidence","player_id|source_player_id|join_key_type|identity_status|review_required|anchor|included_in_builder|exclusion_reason","Unresolved identity rows excluded; identity recommendation is not approved join","review-only identity exclusion evidence","source truth; app binding activation; latest approved promotion","false","false","false","false","Identity Gate HQ Review","Preserves 281 safe display and 13 gated display posture unless later approved."
"player_stats_sidecar_rows_v1","Outcome Lane","docs/hq/outcomes/nflverse_player_stats_sidecar_builder_v1_YYYYMMDD/player_stats_sidecar_rows.csv","player-season-week-stat","player_stats_sidecar_overlap_v1_20260630; tracked NFLVerse player_stats source manifests","player_id|gsis_id|season|week|team|position|stat_name|stat_value|source_snapshot_id|source_extraction_timestamp|censoring_status|identity_status","Review-only; missing stats not zero; labels not input features; no label truth promotion","row-level review-only sidecar evidence","label truth; model input; training truth; source truth; probability output","false","false","false","false","Player Stats Sidecar HQ Gate","May be built only with tracked safe data and source manifest."
"player_stats_sidecar_schema_manifest_v1","Outcome Lane","docs/hq/outcomes/nflverse_player_stats_sidecar_builder_v1_YYYYMMDD/player_stats_sidecar_schema_manifest.md","schema-version","templates/real_data_inputs/nflverse_stats_upgrade/nflverse_player_stats_weekly.csv; label_parity_sidecar_evidence_v1_20260630","field_name|field_type|nullable|missingness_rule|source_field|allowed_use","Template schema is not data; no row count inference from empty template","review-only schema documentation","model feature schema; training schema; source-truth schema","false","false","false","false","Player Stats Sidecar HQ Gate","Tracked template currently has zero row-level player_stats rows."
"player_stats_sidecar_coverage_report_v1","Outcome Lane","docs/hq/outcomes/nflverse_player_stats_sidecar_builder_v1_YYYYMMDD/player_stats_sidecar_coverage_report.md","season-position","player_stats_sidecar_rows_v1; identity_safe_join_manifest_v1","season|position|sidecar_rows|matched_identity_rows|gated_identity_rows|missing_rows|censoring_reason_counts","Missing sidecar rows are Not enough information; incomplete horizons are censored","review-only coverage summary","label truth; model input; training truth; source truth","false","false","false","false","Player Stats Sidecar HQ Gate","Precondition for label parity validator."
"label_parity_validation_report_v1","Outcome Lane or Policy Lane","docs/hq/outcomes/nflverse_label_parity_validator_v1_YYYYMMDD/label_parity_validation_report.md","outcome-family-position-season","player_stats_sidecar_rows_v1; existing Outcome/Rookie evaluation labels","outcome_family|position|season|matched_players|unmatched_existing_labels|unmatched_nflverse_rows|identity_match_rate|scoring_parity_status|censoring_parity_status|mismatch_category_counts","Existing labels are evaluation targets only; NFLVerse player_stats is not label truth","review-only parity evidence","label truth promotion; model input; training truth; active probabilities","false","false","false","false","Label Parity HQ Gate","Can compare after sidecar exists; cannot promote labels."
"label_parity_mismatch_taxonomy_v1","Outcome Lane or Policy Lane","docs/hq/outcomes/nflverse_label_parity_validator_v1_YYYYMMDD/label_parity_mismatch_taxonomy.md","mismatch-type","label_parity_validation_report_v1","mismatch_type|definition|example|censoring_policy|allowed_resolution|blocked_resolution","Do not coerce missing to zero; do not rewrite existing labels in builder lane","review-only mismatch classification","source truth rewrite; probability changes; hidden sort changes","false","false","false","false","Label Parity HQ Gate","Needed before any later label decision."
"rookie_pre_draft_asof_coverage_matrix_v1","Rookie Outcome Lane","docs/hq/rookie_outcomes/rookie_pre_draft_asof_builder_v1_YYYYMMDD/rookie_pre_draft_asof_coverage_matrix.csv","draft-class-player-feature-anchor","rookie_pre_draft_feature_coverage_v1_20260630; drafted_only_feature_gate_evidence_v1_20260630","player_id|draft_year|feature_family|feature_value_present|feature_as_of_timestamp|pre_draft_anchor|post_draft_only|identity_status|missingness_rule|experiment_safe_now","Drafted-only review admission only; no UDFA inference; no Gate G approval","review-only as-of coverage evidence","rookie probabilities; Gate G; model input; training input; source truth","false","false","false","false","Rookie Gate E/F/G HQ Review","Experiment-safe must remain false in builder output unless later HQ gate approves."
"rookie_drafted_admission_manifest_v1","Rookie Outcome Lane","docs/hq/rookie_outcomes/rookie_pre_draft_asof_builder_v1_YYYYMMDD/rookie_drafted_admission_manifest.csv","drafted-player","draft_picks positive evidence; rookie_pre_draft_feature_coverage_v1_20260630","player_id|draft_year|draft_round|draft_pick|draft_team|positive_draft_picks_evidence|review_admission_status|missingness_rule","Missing draft capital is not UDFA; fake round 8 blocked","drafted-only review admission evidence","UDFA modeling; active rookie probability; Gate G","false","false","false","false","Rookie Gate E/F/G HQ Review","Admission context only; not experiment/model approval."
