surface_name,file_function_path,primary_output_columns,status,used_by_app,used_by_tests,safe_for_draft_day_use,historically_replayable,evidence
Full Dynasty board display,app/pages/20_final_board_v1.py -> load_dynasty_rankings() -> sort_rankings_frame_by_column(),"nwr_rank,nwr_dynasty_score,nwr_position_rank,trust_status,allowed_use",candidate_review_only_main_display,yes,yes,review_aid_only_no_standalone_decisions,no,"current board rows inspected=240; allowed_use=candidate_review_only_not_active_rankings; candidate_mode=wr_qb_v2_candidate"
Current full-player-board builder,src/services/full_player_board_value_service.py::build_full_player_board_value_rows(),"nwr_rank,nwr_dynasty_score,score_status,allowed_use,blocked_use",review_only_builder_not_current_active_production,indirect,yes,no,no,"builder sets allowed_use=review_only_full_player_board_rankings and maps checkpoint_review_score to nwr_dynasty_score"
WR/QB v2 candidate overlay,src/services/model_v4_wr_qb_v2_candidate_service.py::build_wr_qb_v2_candidate(),"candidate_mode,candidate_adjustment,candidate_reason_codes,nwr_dynasty_score,allowed_use",candidate_review_only_not_active_rankings,yes_indirect_via_current_artifact,yes,no,no,"service writes allowed_use=candidate_review_only_not_active_rankings and candidate_mode=wr_qb_v2_candidate"
Current value checkpoint,src/services/model_v4_current_value_checkpoint_service.py::build_current_value_checkpoint(),"checkpoint_review_score,position_specific_review_score,lifecycle_modifier_review,confidence_cap",review_only_checkpoint_missing_from_runtime,no_current_runtime_file,yes,no,no,"expected current_player_value_review_rows/component/receipt files are absent in local runtime folder"
RB/WR current value components,src/services/model_v4_rb_wr_current_value_service.py::build_rb_wr_current_value(),"current_value_review_score,component_weight,weighted_contribution,receipts",review_only_component_layer,no_direct_app_surface,yes,no,partial_proxy_only,"component weights exist in code; current component receipt files are absent; V3 overlap is not exact score replay"
QB/TE current value components,src/services/model_v4_qb_te_current_value_service.py::build_qb_te_current_value(),"current_value_review_score,component_weight,weighted_contribution,discipline_multiplier",review_only_component_layer,no_direct_app_surface,yes,no,partial_proxy_only,"component weights exist in code; current component receipt files are absent; V3 overlap is not exact score replay"
Replacement/VORP core,src/services/model_v4_replacement_vorp_core_service.py::build_replacement_vorp_core(),"positive_vorp_points,review_scoring_points,imported_first_down_points,replacement_rank",review_only_component_layer,no_direct_app_surface,yes,no,partial_proxy_only,"review-only VORP/replacement layer requires admitted first-down and return scoring receipts"
Lifecycle archetype layer,src/services/model_v4_lifecycle_archetype_service.py::build_lifecycle_archetype_layer(),"lifecycle_modifier_review,role_archetype,role_fragility_status,age_evidence_status",review_only_component_layer,no_direct_app_surface,yes,no,no,"current-state lifecycle/age/role receipts absent historically"
Confidence/missingness layer,src/services/model_v4_confidence_missingness_service.py::build_confidence_missingness_layer(),"confidence_cap,confidence_status,missing_receipt_count,cap_reasons",review_only_component_layer,no_direct_app_surface,yes,no,no,"confidence cap is part of score but historical source-coverage receipts are absent"
Statistic Analysis preset,app/pages/20_final_board_v1.py + docs/hq/rankings/statistic_analysis_v0_20260630,score metadata only,display_read_only_metadata,yes,yes,review_context_only,not_applicable,"design says exact contribution percentages are deferred and component receipt artifact is absent"
Market Context / Market Analyzer,app/pages/20_final_board_v1.py + market_baseline_service,DynastyProcess display columns,display_only_market_context,yes,yes,no,no,"market columns are display-only and not rank/model/hidden sort inputs"
Outcome Context / Outcome Lens,app/pages/20_final_board_v1.py + Outcome V1/V2 artifacts,outcome probability display columns,display_only_review_only_context,yes,yes,no,no,"Outcome V2 integration says display-only and no rank/model/source-truth logic"
Data Review / Unified Review,app/pages/20_final_board_v1.py::build_unified_player_board(),mixed board/review/status columns,review_display_surface,yes,yes,review_context_only,no,"Data Review surfaces source coverage and caveats without changing rank fields"
Frozen Final Draft Board V1,docs/draft_day_exports/final_board_v1_20260622/FINAL_DRAFT_BOARD_V1_FROZEN.csv,final_board_rank/final_tier/candidate_status,frozen_candidate_checkpoint_display,yes,yes,review_context_only,no,"frozen board is checkpoint context and does not replace Dynasty Rank"
Legacy active pack score,src/services/full_player_board_value_service.py legacy_active_pack_score,legacy_active_pack_score,comparison_only_not_primary_value,indirect,yes,no,no,"full board exposes legacy score only as comparison_only_not_primary_value"
