review_id,priority,player_name,position,cfbd_candidate,match_type,confidence_or_status,issue,recommended_human_action,safe_default,model_use_allowed,training_allowed,notes
CFBD-P0-001,P0,Josh Cameron,WR,Josh Cameron - Baylor 2024/2025,ambiguous,MEDIUM,multiple plausible candidate identities,Decide whether each CFBD row maps to the intended player or reject,Leave unapproved and review-only,false,false,Ambiguous rows appear across 2024 and 2025.
CFBD-P0-002,P0,Chip Trayanum,RB,Chip Trayanum - Kentucky/Toledo 2024/2025,ambiguous,MEDIUM,multiple plausible candidate identities,Decide whether each CFBD row maps to the intended player or reject,Leave unapproved and review-only,false,false,Also appears in Unified age blocker queue.
CFBD-P0-003,P0,J'Mari Taylor,RB,J'Mari Taylor - Virginia 2025,ambiguous,MEDIUM,multiple plausible candidate identities,Decide whether each CFBD row maps to the intended player or reject,Leave unapproved and review-only,false,false,Ambiguous CFBD identity; no automatic approval.
CFBD-P1-004,P1,DeVonta Smith,CB,DeVonta Smith - Alabama 2024,possible_candidate,LOW,CFBD position conflicts with candidate WR identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P1-005,P1,Justin Jefferson,LB,Justin Jefferson - Alabama 2024,possible_candidate,LOW,CFBD position conflicts with candidate WR identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P1-006,P1,Kyle Williams,CB,Kyle Williams - Arkansas State 2024,possible_candidate,LOW,CFBD position conflicts with candidate WR identity,Manually compare name position and team context,Leave unapproved and review-only,false,false,Possible candidate only.
CFBD-P1-007,P1,Caleb Williams,S,Caleb Williams - Army 2024,possible_candidate,LOW,CFBD position conflicts with candidate QB identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P1-008,P1,Daniel Jones,OL,Daniel Jones - Coastal Carolina 2024,possible_candidate,LOW,CFBD position conflicts with candidate QB identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P1-009,P1,DJ Moore,QB,DJ Moore - Coastal Carolina 2024,possible_candidate,LOW,CFBD position conflicts with candidate WR identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P1-010,P1,Ty Johnson,WR,Ty Johnson - East Carolina 2024,possible_candidate,LOW,CFBD position conflicts with candidate RB identity,Manually compare name position and team context,Leave unapproved and review-only,false,false,Possible candidate only.
CFBD-P1-011,P1,Julian Johnson,TE,Juwan Johnson - Minnesota 2024,possible_candidate,LOW,name is similar but not exact,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Possible candidate only.
CFBD-P1-012,P1,Bryce Young,DL,Bryce Young - Notre Dame 2024,possible_candidate,LOW,CFBD position conflicts with candidate QB identity,Reject unless hard evidence proves same player,Leave unapproved and review-only,false,false,Classic same-name false-positive risk.
CFBD-P2-013,P2,Germie Bernard,WR,Germie Bernard - Alabama 2024,exact_match,HIGH,exact match still lacks human approval,Approve only after identity spot-check,Leave unapproved and review-only,false,false,One of 157 exact-match rows requiring approval.
CFBD-P2-014,P2,Tetairoa McMillan,WR,Tetairoa McMillan - Arizona 2024,exact_match,HIGH,exact match still lacks human approval,Approve only after identity spot-check,Leave unapproved and review-only,false,false,One of 157 exact-match rows requiring approval.
CFBD-P2-015,P2,Cam Skattebo,RB,Cam Skattebo - Arizona State 2024,exact_match,HIGH,exact match still lacks human approval,Approve only after identity spot-check,Leave unapproved and review-only,false,false,One of 157 exact-match rows requiring approval.
CFBD-P2-016,P2,Ashton Jeanty,RB,Ashton Jeanty - Boise State 2024,exact_match,HIGH,exact match still lacks human approval,Approve only after identity spot-check,Leave unapproved and review-only,false,false,One of 157 exact-match rows requiring approval.
CFBD-P2-017,P2,Harold Fannin Jr.,TE,Harold Fannin - Bowling Green 2024,exact_match,HIGH,suffix-normalized exact match still lacks human approval,Approve only after identity spot-check,Leave unapproved and review-only,false,false,One of 157 exact-match rows requiring approval.
CFBD-P2-018,P2,CFBD draft registry batch,UNKNOWN,213 draft registry rows,draft_registry_unapproved,approved_by_human=False,Registry rows still need approve/reject decisions,Review registry in batches; do not bulk approve,Leave every row unapproved,false,false,Includes 157 exact 46 possible and 10 ambiguous registry rows.
