ingredient_family,found_path,file_name,source_type,raw_vs_derived,file_size,modified_time,sha256,row_count,columns,season_coverage,position_coverage,player_id_fields,join_keys,row_grain,source_use_gate_status,leakage_asof_status,identity_risk,missingness_risk,formula_test_candidate,ranking_integration_candidate_later,availability_classification,park_status,notes,read_status
supporting_review_artifact,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\lve_normalized_feature_receipts.csv,lve_normalized_feature_receipts.csv,real_data_input_template_or_stub,raw_or_source_cache,304,2026-07-01T05:59:53.462423+00:00,4ac44091344ce392f32a32fb521f7553b8a38625a467b5f88c668ed44156e60e,0,season|as_of_week|player_id|gsis_id|sleeper_id|player_name|position|team|feature_bucket|feature_name|raw_value|normalized_value|normalized_score|source_key|source_status|projection_source_status|source_field|warning_status|warning_reason|imputed_flag|is_missing|imputation_value|model_usage|computed_at,,,player_id|gsis_id,season|player_id|position,player_season,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\lve_normalized_veteran_features.csv,lve_normalized_veteran_features.csv,real_data_input_template_or_stub,raw_or_source_cache,481,2026-07-01T05:59:53.462423+00:00,5fdbed726cb0c64b249dea7acc4526474bb05db43110f27ab9d43ed0a26cb64a,0,season|as_of_week|player_id|gsis_id|sleeper_id|player_name|position|team|weighted_recent_lve_ppg_score|expected_lve_points_score|lve_projection_value|projection_source_status|role_security|workload_earning|target_earning_stability|route_role|efficiency_score|first_down_td_fit|age_curve|age_raw|age_bucket|age_warning|age_source_status|age_interaction_flags|injury_durability|private_stat_value|market_liquidity|confidence|missing_data_penalty|warnings|source_version|computed_at,,,player_id|gsis_id,season|player_id|position,player_season,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
supporting_review_artifact,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\lve_opportunity_weekly.csv,lve_opportunity_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,487,2026-07-01T05:59:53.462423+00:00,2a613f48fc249da8060aeab58b0a1bec929991d474656880bfb0712b2f0e7fbb,0,season|week|player_id|gsis_id|sleeper_id|player_name|position|team|source_xfp|lve_xfp|lve_actual|opportunity_delta|rush_attempts|targets|expected_receptions|expected_rush_yards|expected_rec_yards|expected_pass_yards|expected_rush_tds|expected_rec_tds|expected_pass_tds|expected_rush_first_downs|expected_rec_first_downs|red_zone_opportunities|goal_line_opportunities|short_yardage_opportunities|lve_weighted_opportunities|td_dependency|source_model_version|source_updated_at|confidence,,,player_id|gsis_id,season|week|player_id|position,player_week,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
depth_charts,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_depth_chart_weekly.csv,nflverse_depth_chart_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,125,2026-07-01T05:59:53.463422+00:00,5d692b4b87ba97b1d4236e8b6614190ce4426197cf8ebd6acd7aaaf9ed16ea33,0,season|week|team|dt|gsis_id|espn_id|sleeper_id|player_name|position|pos_slot|pos_rank|depth_chart_role_score|schema_version,,,gsis_id,season|week|gsis_id|position,player_week,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PRESENT_NEEDS_ASOF_REVIEW,active_candidate_or_rebuildable,"Template/stub files exist and nflverse has depth chart loads, but weekly as-of semantics must be proven before formula use.",csv
supporting_review_artifact,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_identity_map.csv,nflverse_identity_map.csv,real_data_input_template_or_stub,raw_or_source_cache,160,2026-07-01T05:59:53.463422+00:00,8550e04300d222c408823a3df5e8279ff35c6ba09b6555ae45405f8e9e6c612d,0,sleeper_id|gsis_id|nfl_id|espn_id|fantasy_data_id|pfr_id|player_id|player_name|normalized_name|position|team|match_method|match_confidence|review_status|notes,,,gsis_id|pfr_id|player_id,gsis_id|position,play_level_or_team_level,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
injury_availability,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_injuries_weekly.csv,nflverse_injuries_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,237,2026-07-01T05:59:53.463422+00:00,6a9198e94562953d0175eca3d2615a48e3c574a7e184426af6ecdf409e642c47,0,season|week|team|gsis_id|sleeper_id|player_name|position|report_primary_injury|report_secondary_injury|report_status|practice_primary_injury|practice_secondary_injury|practice_status|normalized_body_part|date_modified|source_confidence,,,gsis_id,season|week|gsis_id|position,player_week,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PRESENT_NEEDS_ASOF_REVIEW,active_candidate_or_rebuildable,"Local templates/leads exist; nflverse injury source has known 2025 continuity risk, so use only as point-in-time review gate after source review.",csv
participation_personnel_pressure,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_participation_player_weekly.csv,nflverse_participation_player_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,256,2026-07-01T05:59:53.463422+00:00,3c6871afcac28c61ae3ec63e301ad5e4e9fa5ffcdeb3aa45900c2eba32b2beae,0,season|week|team|gsis_id|sleeper_id|player_name|position|offensive_plays_on_field|team_offensive_plays|dropbacks_on_field|team_dropbacks|route_participation_proxy|targets|targets_per_dropback_snap_proxy|red_zone_on_field|short_yardage_on_field|confidence,,,gsis_id,season|week|gsis_id|position,player_week,review_only_needs_sidecar_gate,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,yes_after_schema_source_asof_identity_validation,no_currently_blocked,PRESENT_PARTIAL_COVERAGE,active_candidate_or_rebuildable,FTN charting and participation-like templates exist; coverage is 2022+ and must not be promoted to routes/YPRR/TPRR.,csv
player_season_week_epa_opportunity,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_player_stats_weekly.csv,nflverse_player_stats_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,477,2026-07-01T05:59:53.463422+00:00,48d371d0dd0c690b885b24b1b93a9a53928fb4f60012edcf9ea7bc01b9d3ee1e,0,season|week|player_id|gsis_id|sleeper_id|player_name|position|team|passing_yards|passing_tds|interceptions|rushing_attempts|rushing_yards|rushing_tds|rushing_first_downs|targets|receptions|receiving_yards|receiving_tds|receiving_first_downs|passing_first_downs|passing_epa|rushing_epa|receiving_epa|receiving_air_yards|target_share|air_yards_share|wopr|return_yards|return_tds|kick_return_yards|kick_return_tds|punt_return_yards|punt_return_tds|fumbles_lost|source_updated_at,,,player_id|gsis_id,season|week|player_id|position,player_week,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,MISSING_BUT_PUBLIC_NFLVERSE_REBUILDABLE,active_candidate_or_rebuildable,"Public nflfastR play-by-play/player-stats can rebuild EPA/opportunity aggregates, but no full 2013-2025 joined local sidecar was found.",csv
snap_counts,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\nflverse_snap_counts_weekly.csv,nflverse_snap_counts_weekly.csv,real_data_input_template_or_stub,raw_or_source_cache,135,2026-07-01T05:59:53.463422+00:00,d388ad85ddeb3803639143ee794711af47547423bb7352bc1785be43d58feabf,0,season|week|game_id|gsis_id|sleeper_id|player_name|position|team|opponent|offense_snaps|offense_pct|st_snaps|st_pct|source_updated_at,,,gsis_id,season|week|gsis_id|position,player_week,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,MISSING_BUT_PUBLIC_NFLVERSE_REBUILDABLE,active_candidate_or_rebuildable,"Only templates/current mart fields were found locally; nflverse exposes PFR snap counts, but source gate/as-of validation is still needed.",csv
supporting_review_artifact,C:\NWR\nflverse-phase-reset-audit-20260630\templates\real_data_inputs\nflverse_stats_upgrade\projection_raw_import.csv,projection_raw_import.csv,real_data_input_template_or_stub,raw_or_source_cache,564,2026-07-01T05:59:53.463422+00:00,84147b97896236aafe40ef16c169ddfe94e4ef5d08e7817f5234077cd7de78e1,0,season|week|projection_scope|projection_source_status|source_id|source_player_id|sleeper_id|gsis_id|player_name|position|team|projected_games|projected_starts|projected_passing_yards|projected_passing_tds|projected_interceptions|projected_rushing_attempts|projected_rushing_yards|projected_rushing_tds|projected_targets|projected_receptions|projected_receiving_yards|projected_receiving_tds|projected_rushing_first_downs|projected_receiving_first_downs|projected_fumbles_lost|source_projected_points|source_scoring_format|source_updated_at|imported_at|confidence,,,gsis_id,season|week|gsis_id|position,player_week,not_admitted_or_parked,lag_required; as_of review required before formula testing,medium_until_join_to_formula_mart_player_id_validated,nan_cell_missing_rate,no_or_later,no_currently_blocked,PARK_FOR_LATER,parked,Supporting review artifact or parked source branch.,csv
