no_recreate_id,artifact_id,repository_relative_reference,sanitized_reference_locator_id,classification,required_treatment,blocker_or_guardrail,active_use_state,record_version
NR-001,,docs/hq/data_sources/cfbd_review_artifacts_20260624/,,RETAIN_NO_RECREATE,Register metadata only; do not repull or copy raw.,source/rights/identity gate,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-002,,docs/hq/data_sources/cfbd_identity_matching_v1_20260624/,,RETAIN_NO_RECREATE,Reuse assertions and queues; no new fuzzy/name matcher.,identity unresolved,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-003,,docs/hq/rookie_outcomes/cfbd_rookie_identity_approval_v1_20260629/,,RETAIN_NO_RECREATE,Preserve decisions and duplicate occurrences.,key review,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-004,,docs/hq/rookie_model/rookie_entry_status_hygiene_v1_20260630/,,RETAIN_NO_RECREATE,Do not recreate absent builder; record failed lineage.,builder/input receipts missing,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-005,,docs/hq/rookie_model/rookie_entry_status_hygiene_qa_v1_20260630/,,RETAIN_NO_RECREATE,Append new duplicate findings separately.,collision propagation,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-006,,docs/hq/rookie_model/rookie_udfa_source_policy_confirmation_pilot_v1_20260630/,,RETAIN_NO_RECREATE,Keep zero-confirmation outcome and policy.,no admitted source,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-007,,docs/hq/rookie_outcomes/current_rookie_udfa_unknown_review_packet_v1_20260630/ | docs/hq/rookie_outcomes/udfa_review_application_v1_20260630/,,RETAIN_NO_RECREATE,Preserve review history; do not infer verified truth.,semantic/proof review,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-008,,docs/hq/rookie_outcomes/rookie_draft_capital_review_v1_20260629/,,SUPERSEDED_RETAIN,Keep conflicting predecessor.,seven draft-round conflicts,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-009,,docs/hq/rookie_outcomes/rookie_draft_capital_coverage_repair_v2_20260630/,,RETAIN_NO_RECREATE,Reuse review evidence; no name-based promotion.,duplicate/identity caveats,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-010,,docs/hq/rookie_outcomes/rookie_pre_draft_asof_coverage_builder_v1_20260630/rookie_drafted_admission_manifest.csv,,RETAIN_NO_RECREATE,"Reference existing 1,999 rows.",102 missing IDs,NO_ACTIVE_USE_AUTHORIZED,1.0.0
NR-011,,scripts/build_rookie_draft_class_gsis_bridge_v1_20260630.py,,RETAIN_NO_RECREATE,Do not rerun during consolidation.,local raw receipt incomplete,NO_ACTIVE_USE_AUTHORIZED,1.0.0
