scoring_component,nflverse_field_candidate,source_dataset,field_present,field_quarantined,field_allowed_for_review,needed_for_full_scoring,needed_for_first_down_parity,missingness_rule,zero_value_required,zero_value_available,safe_for_full_sidecar_now,label_truth_allowed,model_use_allowed,training_allowed,source_truth_allowed,blocker_reason,notes
player_identity,player_id|player_name|player_display_name,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing identity remains Not enough information; ambiguous identity remains gated,false,not_applicable,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,Required to join observed component rows to safe NWR player context identity.
team_position_context,team|recent_team|opponent_team|position|position_group,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing team or position remains Not enough information,false,not_applicable,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,Required context for player-week component rows; not source truth.
game_week_context,season|week|season_type|game_id,player_stats_weekly,true,false,true,true,false,Missing season/week/game remains Not enough information,false,not_applicable,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,Weekly source has player-week grain required for component rows.
passing_yards,passing_yards,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses pass_yd_pt.
passing_touchdowns,passing_tds,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses pass_td_pt.
passing_interceptions,passing_interceptions,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses pass_int_pt.
passing_first_downs,passing_first_downs,player_stats_weekly|player_stats_seasonal,true,false,true,true,true,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring weight is currently 0.0 but field is useful for exact first-down evidence.
passing_two_point_conversions,passing_2pt_conversions,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring uses pass_2pt_pt.
sacks_suffered,sacks_suffered,player_stats_weekly|player_stats_seasonal,true,false,true,true,false,Missing component remains Not enough information; do not infer zero without observed source row,true,observed_row_only,true,false,false,false,false,NO_BLOCKER_FOR_OBSERVED_ROWS,NWR scoring weight is currently 0.0 but field is present for formula completeness.
sack_yards_lost,sack_yards_lost,player_stats_weekly|player_stats_seasonal,true,false,true,false,false,Missing component remains Not enough information; do not infer zero without observed source row,false,observed_row_only,true,false,false,false,false,OPTIONAL_FOR_CURRENT_SCORING,Audited because requested; current scoring config does not apply a sack-yard penalty.
