"stat_or_input_name","category","position_scope","season_range_available","row_grain","source","source_path_or_artifact","current_status","allowed_use","production_model_use_allowed","review_only_allowed","display_only_allowed","blocked_reason","identity_join_status","leakage_status","decision_date_safe","historical_replay_safe","formula_gauntlet_safe","ranking_integration_safe","coverage_summary","missingness_notes","needs_data_hygiene","needs_route_recovery","needs_master_approval","notes"
"pfr_rush_brk_tkl__raw","advanced/context","RB","PFR review lanes; exact season range depends safe rushing bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_rush","docs/hq/data_sources/pfr_rb_broken_tackle_review_feature_readiness_v1_20260708/; docs/hq/model/pfr_rb_broken_tackle_formula_gauntlet_design_v1_20260709/","REVIEW_ONLY","weak RB-only component hypothesis","no","yes","yes","","safe PFR rushing bridge rows only","lagged source season N to target season N+1 only","conditional","partial only; exact Model v4 replay not proven","bounded_review_component_signal_only","no","tiny full-control lift +0.001531 in locked shadow feature evidence","must exclude blocked/collision rows and control for PFR coverage","yes","no","yes","Allowed only as PFR_RB_BROKEN_TACKLE_CONTEXT_REVIEW_ONLY; not PFF Elusive Rating."
"pfr_rush_brk_tkl__per_game","advanced/context","RB","PFR review lanes; exact season range depends safe rushing bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_rush plus games denominator","docs/hq/data_sources/pfr_rb_broken_tackle_review_feature_readiness_v1_20260708/; docs/hq/model/pfr_rb_broken_tackle_formula_gauntlet_design_v1_20260709/","REVIEW_ONLY","weak RB-only component hypothesis","no","yes","yes","","safe PFR rushing bridge rows only","lagged source season N to target season N+1 only","conditional","partial only; exact Model v4 replay not proven","bounded_review_component_signal_only","no","tiny full-control lift +0.000651 in locked shadow feature evidence","must exclude blocked/collision rows and control for games/PFR coverage","yes","no","yes","Allowed only as PFR_RB_BROKEN_TACKLE_CONTEXT_REVIEW_ONLY; not standalone winning signal."
"pfr_rush_brk_tkl__per_attempt","advanced/context","RB","PFR review lanes; exact season range depends safe rushing bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_rush plus attempts denominator","docs/hq/data_sources/pfr_rb_broken_tackle_review_feature_readiness_v1_20260708/; docs/hq/model/pfr_rb_broken_tackle_formula_gauntlet_design_v1_20260709/","REVIEW_ONLY","diagnostic only","no","yes","yes","diagnostic only; not primary candidate without separate approval","safe PFR rushing bridge rows only","lagged source season N to target season N+1 only","conditional","partial only; exact Model v4 replay not proven","diagnostic_only_not_primary","no","locked design parked per-attempt as diagnostic only","denominator can overstate sparse/low-attempt players","yes","no","yes","Do not use as primary feature or production input."
"PFR_advstats_season_rush_broad_feature_set","advanced/source family","RB/QB rushing","public PFR advanced stat parquet availability depends nflverse release and safe bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_rush","pfr_advanced_source_provenance_hardening_v1 referenced by PFR RB readiness/design packets","REVIEW_ONLY","parked source map; only RB broken-tackle rows allowed by this addendum","no","yes","yes","broad PFR rushing feature promotion not approved","safe subset only; blocked/collision rows excluded","lagged use required; no future-season identity repair","conditional","not exact Model v4 replay safe","only named RB broken-tackle variants allowed","no","public/reproducible source, but broad family not admitted","field-specific coverage and identity caveats remain","yes","no","yes","Do not treat broad PFR rushing as model-approved."
"PFR_advstats_season_rec_broad_feature_set","advanced/source family","RB/WR/TE receiving","public PFR advanced stat parquet availability depends nflverse release and safe bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_rec","pfr_advanced_source_provenance_hardening_v1 referenced by PFR RB readiness/design packets","BLOCKED","parked until Master HQ reopens a specific receiving feature lane","no","no","yes","broad WR/TE/RB receiving PFR feature sets not approved by this addendum","safe receiving subset exists only for prior bridge context; not source truth","lagged use would require separate gate","no","no","blocked","no","not evaluated here","requires separate Data Hygiene/source gate and feature-specific evidence","yes","no","yes","This addendum does not reopen WR/TE PFR feature use."
"PFR_advstats_season_pass_broad_feature_set","advanced/source family","QB passing","public PFR advanced stat parquet availability depends nflverse release and QB heuristic bridge","player-season","nflverse public PFR advanced stat parquet advstats_season_pass","PFR QB heuristic bridge/readiness packets; PFR RB addendum only references as blocked scope","IDENTITY_UNSAFE","warning-gated source context only","no","no","yes","PFR QB passing remains warning-gated and not model-use/source-truth safe","QB heuristic rows remain warning-gated and not safe/source truth","lagged use would still require identity/source gate","no","no","blocked","no","prior PFR QB heuristic eligible rows were review-only and not source-truth safe","identity collision/warning caveats remain","yes","no","yes","Do not use PFR QB passing as production input."
"PFR_QB_passing_warning_gated_model_use","identity/source bridge","QB","PFR QB heuristic readiness packets","player-season","PFR via public nflverse advanced stat context where applicable","PFR QB heuristic bridge/readiness packets","IDENTITY_UNSAFE","blocked for model use; review-only warning context","no","no","yes","passing heuristic rows are not source-truth safe","warning-gated; blocked/collision rows excluded","future-season information cannot be used for identity matching","no","no","blocked","no","384 heuristic eligible rows were review-only; 848 warnings in prior evidence","not enough for production/model/rankings","yes","no","yes","Carry caveat only; no production formula use."
"PFF_Elusive_Rating_exact","proprietary advanced metric","RB","not available","player-season","PFF","advanced metric/PFR guardrail packets","BLOCKED","none","no","no","no","proprietary and explicitly forbidden","not available","not available","no","no","blocked","no","none","none","yes","no","yes","Do not calculate, approximate, display, or imply exact PFF Elusive Rating."
"nwr_elusive_proxy_review_only","blocked invented metric","RB","not available","player-season","none","advanced metric/PFR guardrail packets","BLOCKED","none","no","no","no","explicitly blocked and not calculated","not applicable","not applicable","no","no","blocked","no","none","none","yes","no","yes","Do not calculate or display this proxy; PFR broken tackles are not an elusive proxy."
"PFF_style_elusive_proxy_names","blocked naming family","RB","not available","player-season","none","PFR RB broken-tackle guardrails","BLOCKED","none","no","no","no","misleading PFF-style/elusive proxy naming forbidden","not applicable","not applicable","no","no","blocked","no","none","none","yes","no","yes","Use only PFR_RB_BROKEN_TACKLE_CONTEXT_REVIEW_ONLY for the narrow review hypothesis."
