exact_text,file_path,field_or_column,where_it_appears,current_meaning,accurate,confusing,proposed_replacement_text,replacement_scope,human_approval_needed
candidate_review_only_main_display,C:\NWR\Niners-War-Room-model-v4-formula-documentation-cleanup-v1-20260708\docs\hq\model\model_v4_formula_documentation_cleanup_v1_20260708\MODEL_V4_FORMULA_DOCUMENTATION_CLEANUP_V1_REPORT.md,ranking_surface_status,Formula documentation report,"App-visible 240-row board is candidate/review-only main display",Yes,Partially,"candidate_review_only_main_display_rebuild_verified",docs_and_artifact_status,Yes
candidate_review_only_not_active_rankings,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,allowed_use,Current control board rows,"Candidate/review-only rows blocked from production use",Yes,Yes,"candidate_review_only_rebuild_verified_not_production_active",artifact_status_field,Yes
candidate_review_only_not_active_rankings,src/services/model_v4_wr_qb_v2_candidate_service.py,allowed_use,Candidate export writer,"WR/QB v2 candidate rows are not active production rankings",Yes,Yes,"candidate_review_only_rebuild_verified_not_production_active",future_runtime_implementation,Yes
wr_qb_v2_candidate,C:\NWR\Niners-War-Room\local_exports\model_v4\current_value\latest\full_player_board_value_review_rows.csv,candidate_mode,Current control board rows,"Identifies WR/QB v2 candidate overlay",Yes,No,"wr_qb_v2_candidate",none,No
nwr_dynasty_score,app/pages/20_final_board_v1.py,SORT_COLUMNS and display column,App sort/display configuration,"Displayed score used for NWR Dynasty Score sorting",Yes,Partially,"NWR Review Score",app_visible_wording,Yes
checkpoint_review_score,src/services/model_v4_current_value_checkpoint_service.py,checkpoint_review_score,Current value checkpoint service,"Review-only checkpoint score feeding current board rebuild",Yes,No,"checkpoint_review_score",none,No
Full Dynasty Rankings,src/services/draft_day_app_v1_service.py,FULL_DYNASTY_VIEW,App view mode,"Full Dynasty board view",Yes,Partially,"Model v4 Review Board",app_visible_wording,Yes
Dynasty Review,app/pages/20_final_board_v1.py,VIEW_PRESET_DYNASTY_REVIEW,Default app preset,"Default board preset",Yes,Partially,"Model v4 Review",app_visible_wording,Yes
Default full dynasty board. Dynasty Rank remains primary; market, Outcome, and injury-review detail columns stay hidden by default.,app/pages/20_final_board_v1.py,VIEW_PRESET_HELP,Dynasty Review help text,"Default board help text",Partially,Yes,"Default hash-rebuild verified review board. Review score/rank remain primary display fields; market, Outcome, and injury-review detail columns stay hidden by default.",app_visible_wording,Yes
Deep tool: full dynasty source board. Market and Outcome context are display-only and never replace Dynasty Rank, Final Board Rank, tiers, or model values.,app/pages/20_final_board_v1.py,caption,Main board caption,"States source board and context limits",Partially,Yes,"Deep tool: Model v4 review board. Hash-rebuild verified and review-only; market and Outcome context are display-only and never replace review rank, tiers, or model values.",app_visible_wording,Yes
approved local dynasty rankings,src/services/draft_day_app_v1_service.py,source_label,dynasty_rankings_candidates,"Local dynasty rankings artifact label",No,Yes,"hash-rebuild verified review dynasty board",runtime_label,Yes
approved control-repo dynasty rankings,src/services/draft_day_app_v1_service.py,source_label,dynasty_rankings_candidates,"Control repo dynasty rankings artifact label",No,Yes,"hash-rebuild verified control review board",runtime_label,Yes
Approved NWR Dynasty Score from the current rankings output.,src/services/draft_day_app_v1_service.py,RANKINGS_TABLE_COLUMN_CONFIG help,NWR Dynasty Score tooltip,"Score is approved",No,Yes,"Hash-rebuild verified review score from the current candidate board. Not production-active or historically accuracy-approved.",app_visible_wording,Yes
Position rank derived from approved NWR rank for display only.,src/services/draft_day_app_v1_service.py,RANKINGS_TABLE_COLUMN_CONFIG help,Position Rank tooltip,"Rank is approved",No,Yes,"Position rank derived from the hash-rebuild verified review rank for display only.",app_visible_wording,Yes
Approved score metadata from the current rankings artifact.,src/services/draft_day_app_v1_service.py,RANKINGS_TABLE_COLUMN_CONFIG help,Score Type tooltip,"Score metadata is approved",No,Yes,"Review-board score metadata from the current hash-rebuild verified artifact.",app_visible_wording,Yes
Approved-use metadata from the current rankings artifact.,src/services/draft_day_app_v1_service.py,RANKINGS_TABLE_COLUMN_CONFIG help,Allowed Use tooltip,"Allowed-use metadata is approved",No,Yes,"Allowed-use metadata from the current review artifact. It does not bypass source gates or production blocks.",app_visible_wording,Yes
current approved rankings artifact exposes,docs/hq/rankings/statistic_analysis_v0_20260630/statistic_analysis_design.md,documentation phrase,Statistic Analysis docs,"Older docs describe current artifact as approved",No,Yes,"current hash-rebuild verified review artifact exposes",docs_only,Yes
approved full dynasty rankings artifact,docs/hq/rankings/statistic_analysis_v0_20260630/score_component_inventory.csv,current_source,Score component inventory,"Older inventory describes artifact as approved",No,Yes,"hash-rebuild verified review full dynasty artifact",docs_only,Yes
not_production_active_pending_human_approval,C:\NWR\Niners-War-Room-model-v4-production-active-human-review-packet-v1-20260708\docs\hq\model\model_v4_production_active_human_review_packet_v1_20260708\MODEL_V4_PRODUCTION_ACTIVE_HUMAN_REVIEW_PACKET_V1_REPORT.md,production_status,Human review packet,"Production-active status remains blocked pending human approval",Yes,No,"not_production_active_pending_human_approval",none,No
not_historically_accuracy_approved,C:\NWR\Niners-War-Room-production-rankings-backtest-v1-20260708\docs\hq\model\production_rankings_backtest_v1_20260708\PRODUCTION_RANKINGS_BACKTEST_V1_REPORT.md,accuracy_status,Backtest caveat,"No approved single overall accuracy number is defensible",Yes,No,"not_historically_accuracy_approved",artifact_status_field,Yes
