field_name,source_family,coverage_status,seasons_available,positions_supported,missingness_risk,leakage_risk,target_join_readiness,recommended_backtest_status,blocker,notes
offense_snaps,snap_counts,YELLOW_COVERAGE_ID_JOIN_CAVEAT,2022;2023;2024,QB;RB;TE;WR,low,low,partial,YELLOW_COVERAGE_READY_WITH_CAVEATS,coverage caveats require review before predictive run,model_input_allowed=no; app_wiring_allowed=no
offense_pct,snap_counts,YELLOW_COVERAGE_ID_JOIN_CAVEAT,2022;2023;2024,QB;RB;TE;WR,low,low,partial,YELLOW_COVERAGE_READY_WITH_CAVEATS,coverage caveats require review before predictive run,model_input_allowed=no; app_wiring_allowed=no
targets,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
carries,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
receptions,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
touches,derived_usage,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
opportunities,derived_usage,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
rushing_yards,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
receiving_yards,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
receiving_air_yards,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
receiving_yards_after_catch,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
rushing_first_downs,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
receiving_first_downs,player_stats,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,QB;RB;TE;WR,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
red_zone_carries,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
red_zone_targets,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
red_zone_touches,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_10_carries,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_10_targets,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_10_touches,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_5_carries,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_5_targets,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
inside_5_touches,pbp,GREEN_MULTI_SEASON_COVERAGE,2022;2023;2024,not_position_scoped,low,low,yes,COVERAGE_READY_FOR_FUTURE_BACKTEST,target manifest and separate backtest runner still required,model_input_allowed=no; app_wiring_allowed=no
ngs_efficiency_fields,nextgen_stats,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
participation_personnel_formation_context,participation,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
route_participation_proxy,participation,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
tprr_like_proxy,derived_proxy,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
yprr_like_proxy,derived_proxy,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
ftn_pfr_advanced_fields,ftn_pfr,RESEARCH_ONLY,,,high,medium,no,RESEARCH_ONLY_NOT_BACKTEST_READY,research-only field semantics or proxy risk,model_input_allowed=no; app_wiring_allowed=no
true_routes_run,licensed_gap,BLOCKED_LICENSED_DATA_GAP,,,high,medium,no,BLOCKED_LICENSED_DATA_GAP,licensed-data gap or unsafe field,model_input_allowed=no; app_wiring_allowed=no
true_tprr,licensed_gap,BLOCKED_LICENSED_DATA_GAP,,,high,medium,no,BLOCKED_LICENSED_DATA_GAP,licensed-data gap or unsafe field,model_input_allowed=no; app_wiring_allowed=no
true_yprr,licensed_gap,BLOCKED_LICENSED_DATA_GAP,,,high,medium,no,BLOCKED_LICENSED_DATA_GAP,licensed-data gap or unsafe field,model_input_allowed=no; app_wiring_allowed=no
