player_id,draft_year,draft_round,draft_pick,draft_team,positive_draft_picks_evidence,review_admission_status,missingness_rule,model_use_allowed,training_allowed,source_truth_allowed
00-0019559,2000,1,18,NYJ,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019709,2000,3,75,BAL,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
Not enough information,2000,3,65,SFO,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
Not enough information,2000,6,205,SDG,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019682,2000,7,214,DEN,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019579,2000,7,234,TAM,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019599,2000,6,168,NOR,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019553,2000,6,183,CLE,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019633,2000,5,163,PIT,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019623,2000,7,212,SFO,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019622,2000,6,202,WAS,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019596,2000,6,199,NWE,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019590,2000,5,166,NOR,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019466,2000,4,97,CIN,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019712,2000,3,88,MIN,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019471,2000,4,115,KAN,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019722,2000,3,76,NWE,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019693,2000,1,5,BAL,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019614,2000,5,144,DAL,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
00-0019594,2000,6,189,DEN,true,drafted_only_review_admission,Missing draft capital is Not enough information and is not confirmed UDFA; fake round 8 is blocked.,false,false,false
