final_board_rank,player,position,nfl_team,rookie_rank_display_only,warning_severity,manual_bucket,main_risk,action_if_unconfirmed,trap_categories,draft_day_instruction,source,does_not_override_final_board_rank
1,Jeremiyah Love,RB,ARI,1,none,safest_manual,gaps=routes_per_game|missed_tackles_forced_rate|short_yardage_success_rate|receiving_first_down_rate|rushing_first_down_rate|goal_line_touch_share|injury_history_score,still verify health and role before drafting; do not let missing late injury news slip through,injury_availability; first_down_scoring_mismatch,usable manually at current zone after ordinary health/role check,r_acc_7_manual_draft_kit_v2_20260617,yes
2,Makai Lemon,WR,PHI,2,none,verify_first,gaps=career_yprr|targets_per_route_run|manufactured_touch_rate|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
3,Carnell Tate,WR,TEN,3,none,verify_first,high bust-risk index; gaps=career_yprr|final_season_yprr|targets_per_route_run|route_tree_grade_or_notes|separation_grade_or_notes|press_success_grade_or_notes|manufactured_touch_rate|screen_touch_rate|first_downs_per_target|injury_history_score; low source confidence,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; injury_availability; non_ppr_fragility; first_down_scoring_mismatch; production_context_concern; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
4,KC Concepcion,WR,CLE,4,none,verify_first,gaps=career_yprr|targets_per_route_run|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
5,Jadarian Price,RB,SEA,5,none,verify_first,high bust-risk index; gaps=routes_per_game|explosive_run_rate|missed_tackles_forced_rate|short_yardage_success_rate|receiving_first_down_rate|rushing_first_down_rate|goal_line_touch_share|pass_protection_grade_or_notes|injury_history_score,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; injury_availability; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
6,Denzel Boston,WR,CLE,6,none,verify_first,gaps=career_yprr|targets_per_route_run|press_success_grade_or_notes|manufactured_touch_rate|screen_touch_rate|YAC_per_reception,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
7,Germie Bernard,WR,PIT,7,none,verify_first,gaps=career_yprr|final_season_yprr|targets_per_route_run|press_success_grade_or_notes|screen_touch_rate|first_downs_per_target|contested_target_rate|red_zone_target_share,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
8,Chris Bell,WR,MIA,8,soft_note,verify_first,"Context note: context preserved as caution, but not a draft-room stop.",do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
9,Zachariah Branch,WR,ATL,9,soft_note,verify_first,"Context note: context preserved as caution, but not a draft-room stop.",do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; competition_team_context_concern,verify role/depth-chart and scoring fit before spending premium pick,r_acc_7_manual_draft_kit_v2_20260617,yes
10,Antonio Williams,WR,WAS,10,critical_trap_guard,hold_or_trap,Critical trap guard: premium-window rank with high bust risk and no standout CFBD edge.,do not draft at 1.03/1.04; keep verify-first or hold label visible,role_uncertainty; depth_chart_uncertainty; non_ppr_fragility; first_down_scoring_mismatch; production_context_concern; competition_team_context_concern; manual_hold; critical_trap_guard,hold until trap guard/manual hold is cleared by source-safe evidence,r_acc_7_manual_draft_kit_v2_20260617,yes
11,Jonah Coleman,RB,DEN,11,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Is Jonah Coleman's feature-driven rank move (+24) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
12,Skyler Bell,WR,BUF,12,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Skyler Bell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
13,Brenen Thompson,WR,LAC,13,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Brenen Thompson have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
14,Elijah Sarratt,WR,BAL,14,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Elijah Sarratt have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
15,Emmett Johnson,RB,KC,15,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Emmett Johnson have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
16,Kaytron Allen,RB,WAS,16,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Kaytron Allen have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
17,Adam Randall,RB,BAL,17,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Adam Randall have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
18,Josh Cameron,WR,JAX,18,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Josh Cameron have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
19,Nicholas Singleton,RB,TEN,19,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Nicholas Singleton have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
20,Barion Brown,WR,NO,20,critical_trap_guard,board_manual_review,"rookie_warning=critical_trap_guard; manual_question=Does Barion Brown's NFL draft capital/role (round=6; pick=190; needs_data: nfl_depth_chart_target_earning_role) actually support rank 20, or is this production profile a trap?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
21,Demond Claiborne,RB,MIN,21,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Demond Claiborne have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
22,Lewis Bond,WR,HOU,22,manual_review,board_manual_review,rookie_warning=manual_review; manual_question=Does Lewis Bond have a credible target-earning path on his NFL depth chart?,manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
23,J'Mari Taylor,RB,JAX,23,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does J'Mari Taylor have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
24,Eric McAlister,WR,FA,25,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Eric McAlister have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
25,Kentrel Bullock,RB,CIN,24,critical_trap_guard,board_manual_review,"rookie_warning=critical_trap_guard; manual_question=Does Kentrel Bullock's NFL draft capital/role (unavailable; needs_data: nfl_depth_chart_rush_goal_line_first_down_role) actually support rank 24, or is this production profile a trap?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
26,Kejon Owens,RB,MIN,26,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Kejon Owens have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
27,Sieh Bangura,RB,needs_data,27,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Is Sieh Bangura's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
28,Chris Brazzell,WR,CAR,28,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Chris Brazzell have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
29,Robert Henry Jr.,RB,WAS,29,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Robert Henry Jr. have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
30,Seth McGowan,RB,IND,30,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Seth McGowan have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
32,Jacob De Jesus,WR,needs_data,31,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Is Jacob De Jesus's feature-driven rank move (+18) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
33,Omar Cooper,WR,NYJ,32,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Omar Cooper have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
35,Dominic Richardson,RB,DAL,33,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Dominic Richardson have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
36,Devin Voisin,WR,needs_data,34,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Devin Voisin have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
37,Hank Beatty,WR,TEN,35,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Is Hank Beatty's feature-driven rank move (-15) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
38,O'Mega Blake,WR,needs_data,36,soft_note,board_warning,rookie_warning=soft_note; manual_question=Does O'Mega Blake have a credible target-earning path on his NFL depth chart?,manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
39,Emmanuel Henderson,WR,SEA,37,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Emmanuel Henderson have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
41,Roman Hemby,RB,LV,38,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Roman Hemby have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
43,Chase Roberts,WR,LV,39,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Is Chase Roberts's feature-driven rank move (-16) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
44,Barika Kpeenu,RB,needs_data,40,manual_review,board_manual_review,"rookie_warning=manual_review; manual_question=Does Barika Kpeenu have a credible early-down, goal-line, or first-down role path?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
45,Jordan Hudson,WR,DAL,41,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Does Jordan Hudson have a credible target-earning path on his NFL depth chart, including route/separation evidence?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
46,Kevin Coleman,WR,MIA,42,soft_note,board_warning,"rookie_warning=soft_note; manual_question=Is Kevin Coleman's feature-driven rank move (-16) supported by NFL team, role, and draft-capital context?",manual review before draft use,,display-only warning; do not override final_board_rank,frozen_final_board_v1,yes
