player_id,player,pos,nfl_team,age,final_board_rank,current_candidate_rank,tuned_v2_cross_asset_rank,tuned_v2_cross_asset_value,rank_delta_vs_frozen,rank_delta_vs_current_candidate,dynasty_rank_if_available,position_rank,adp,available_pool_adp_rank,available_pool_adp_range,current_pick_value_1_03,current_pick_value_1_04,current_pick_value_1_09,current_pick_value_2_04,current_pick_value_2_08,outcome_applicable_summary,horizon_2026_band,horizon_2027_band,horizon_next5y_band,confidence_band,uncertainty_reasons,reason_to_draft,reason_to_pass,human_review_priority,source_note
,Jeremiyah Love,RB,ARI,Not enough information,1,1,1,62.86,0,0,,1,7.9,7,Late 1st equivalent,Value,Value,Steal,Steal,Steal,Not enough information,Strong,Priority,Priority,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; top_rookie_can_remain_top_with_explanation,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
9997.0,Zay Flowers,WR,BAL,25.8,31,10,2,59.26,29,8,12.0,17,67.3,66,Depth / later,Value,Value,Steal,Steal,Steal,Not enough information,Priority,Priority,Priority,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; young_established_wr_not_buried_anchor,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
8144.0,Chris Olave,WR,NO,26.0,34,11,3,56.99,31,8,14.0,20,34.8,34,Depth / later,Value,Value,Steal,Steal,Steal,Not enough information,Strong,Strong,Strong,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; young_established_wr_not_buried_anchor,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Makai Lemon,WR,PHI,Not enough information,2,2,4,54.66,-2,-2,,1,77.4,76,Depth / later,Fair,Value,Steal,Steal,Steal,Not enough information,Viable,Strong,Priority,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; top_rookie_visible_but_uncertain,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Carnell Tate,WR,TEN,Not enough information,3,3,5,52.84,-2,-2,,2,44.8,43,Depth / later,Fair,Fair,Value,Steal,Steal,Not enough information,Viable,Strong,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; top_rookie_visible_but_uncertain,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
8148.0,Jameson Williams,WR,DET,25.2,42,13,6,52.73,36,7,26.0,25,70.6,69,Depth / later,Fair,Fair,Value,Steal,Steal,Not enough information,Strong,Strong,Strong,Medium-low,full_dynasty_anchor_strengthened; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; young_established_wr_not_buried_anchor,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,HIGH,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,KC Concepcion,WR,CLE,Not enough information,4,4,7,51.01,-3,-3,,3,82.3,80,Depth / later,Fair,Fair,Value,Steal,Steal,Not enough information,Viable,Strong,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; top_rookie_visible_but_uncertain,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Denzel Boston,WR,CLE,Not enough information,6,5,8,49.74,-2,-3,,4,103.6,103,Depth / later,Slight reach,Fair,Value,Steal,Steal,Not enough information,Viable,Strong,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Jadarian Price,RB,SEA,Not enough information,5,6,9,49.19,-4,-3,,2,68.4,67,Depth / later,Slight reach,Slight reach,Value,Steal,Steal,Not enough information,Viable,Strong,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only; top_rookie_visible_but_uncertain,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
,Germie Bernard,WR,PIT,Not enough information,7,7,10,47.91,-3,-3,,5,134.9,134,Depth / later,Slight reach,Slight reach,Fair,Value,Steal,Not enough information,Viable,Viable,Strong,Medium-low,rookie_rank_crosswalk_confidence_capped; rb_wr_flex_scarcity; manual_review_penalty; outcome_missing_confidence_only,Internal value anchor and tuned V2 cross-asset context keep this player in the human-review set.,Review-only candidate; do not use over Final Board Rank/Dynasty Rank without human context.,MEDIUM,Tuned V2 Candidate / Review-Only; does not replace Final Board Rank or Dynasty Rank; ADP is display-only; no verified full historical dropped-veteran panel.
