"asset_scope","tracked_evidence","identity_or_status_result","exclusion_contract","review_decision"
"Active NFL players","Sleeper player IDs are admitted; clean fixture has zero populated Sleeper crosswalk IDs","IDENTITY_GATED","NONE","BLOCKED_PENDING_COMPLETE_EXACT_ID_AUDIT"
"Rookies","Sleeper ID may exist after provider assignment; no complete tracked crosswalk proof","IDENTITY_GATED","NONE","BLOCKED_NO_NAME_DERIVED_TEMPORARY_ID"
"Veterans","Exact Sleeper-to-NWR join is intended; complete stable coverage is unproved","IDENTITY_GATED","NONE","BLOCKED_PENDING_COMPLETE_EXACT_ID_AUDIT"
"Taxi players","Underlying player identity must be exact; current roster rows omit governed taxi state","IDENTITY_AND_FIELD_GATED","NONE","BLOCKED_PENDING_EXACT_ID_AND_EXPLICIT_TAXI_STATE"
"IR players","Underlying player identity must be exact; current roster rows omit governed IR state","IDENTITY_AND_FIELD_GATED","NONE","BLOCKED_PENDING_EXACT_ID_AND_EXPLICIT_IR_STATE"
"Inactive or retired players","Stable retained source identity and lifecycle coverage are not proved","NOT_ENOUGH_INFORMATION","NONE","BLOCKED_PENDING_COVERAGE_AND_LIFECYCLE_PROOF"
"Kickers","Canonical league mechanics include kicker; exact complete mapping is not proved","NOT_ENOUGH_INFORMATION","NONE","BLOCKED_PENDING_EXACT_ID_COVERAGE"
"DST","Canonical rules say defense is not applicable from 2024; no stable NWR asset mapping is proved","NOT_ENOUGH_INFORMATION","NO_APPROVED_EXPLICIT_EXCLUSION","BLOCKED_PENDING_EXCLUSION_OR_STABLE_IDENTITY_CONTRACT"
"Draft picks","Sleeper draft/pick facts are admitted and three synthetic pick rows exist; tracker asset identity and product scope are unsettled","NOT_ENOUGH_INFORMATION","NO_APPROVED_EXPLICIT_EXCLUSION","BLOCKED_PENDING_EXCLUSION_OR_STABLE_IDENTITY_CONTRACT"
"Unknown provider objects","No declared supported asset type or canonical namespace","SOURCE_GATED","NOT_APPLICABLE","RETAIN_COUNT_AND_TYPE_NO_JOIN_NO_CALCULATION"
