change_id,proposed_change,source_report_finding,classification,parallel_lane_status,data_dependency,implementation_decision,guardrail_notes
PC-001,Replace rank-led Lean/Decision Summary with visible-context readout,Current lean sorts by dynasty/candidate/final board rank and can inherit on-clock decision layer,SAFE_NOW,IMPLEMENTED,Current Player Compare code only,Renamed top summary and changed service to visible-context readout without hidden sorting,Ranks may display as read-only board context but cannot create recommendation
PC-002,Stop compare-facing summary from consuming hard-coded named player anchors/overrides,On-clock decision layer includes hard-coded values and player-specific warnings,SAFE_NOW,IMPLEMENTED,Current services,Summary no longer surfaces player-specific warning text or named override text,Other lanes can keep on-clock layer; Player Compare summary does not expose it as top answer
PC-003,Rename top fields: Decision Summary/Lean/Confidence/Best use case/Data quality,Top experience pushed a decision before facts,SAFE_NOW,IMPLEMENTED,UI copy/layout only,Uses Visible Context Summary; Visible-context read; Evidence coverage; Context note; Open review flags,Avoids model-like confidence language in top summary
PC-004,Rename safer/upside/timing/risk labels to evidence-based labels,Judgment-like labels could imply hidden value or medical safety,SAFE_NOW,IMPLEMENTED,Current UI and review-note fields,Uses Stability evidence; Ceiling evidence; Roster-window context; Main review flags,Ambiguous internal notes render as review notes available below or Not enough information
PC-005,Demote Market/ADP into separate display-only Market timing context block,Market appeared in advanced summary and no-market-match flags,SAFE_NOW,IMPLEMENTED,Existing market fields only,Market timing context tab remains below summary; missing market removed from top flags,Market does not determine readout rankings trade value or draft decision
PC-006,Split same-position and cross-position compare behavior,Cross-position compare could produce one headline lean,SAFE_NOW,IMPLEMENTED,Selected player positions,Cross-position readout is Different positions / roster-fit decision,No cross-position production or usage edge chips
PC-007,Fix 3-4 player compare so it does not collapse to top-two hidden ladder,Summary sorted selected players and explained leader versus runner-up,SAFE_NOW,IMPLEMENTED,Current selected rows,Service preserves input order and shows multi-player no-final-ranking copy,Does not produce final rank or recommendation
PC-008,Preserve and strengthen injury availability guardrails,Injury panel already had strong safety copy,SAFE_NOW,IMPLEMENTED,Existing injury context artifact/service,Added availability context review-only wording and no projection/no risk scoring copy,Missing injury context is not clean health
PC-009,Improve identity-match transparency for name+position fallback,Current injury/outcome matching can fall back to normalized name plus position,SAFE_NOW,IMPLEMENTED_FOR_CURRENT_ARTIFACT,Current IDs/names only,Injury availability rows now show match basis and fallback/ambiguity note,Full ff_playerids bridge waits for NFLVerse refresh health green
PC-010,Add Player Compare policy/help text and guardrail docs,Future build could drift without compare-specific rules,SAFE_NOW,IMPLEMENTED,Docs/UI only,Added visible policy block and HQ docs folder,Tests enforce copy and service guardrails
PC-011,Add recent production/activity panel from tracked player context artifact,Current HQ player context artifact includes last active and snap recency fields,SAFE_NOW,IMPLEMENTED,nflverse_player_context_display_artifact.csv,Rendered in NFLVerse Player Context tab for safe joined rows only,No projection ranking edge chip or missing-as-zero
PC-012,Add usage/role panel from tracked player context artifact,Current HQ player context artifact includes depth and snap fields,SAFE_NOW,IMPLEMENTED,"nflverse_player_context_display_artifact.csv, schema manifest",Rendered in NFLVerse Player Context tab for safe joined rows only,Depth chart remains review/display-only and not source truth; no role score
PC-013,Add availability transparency timeline from tracked player context artifact,Current HQ player context artifact includes roster injury and practice fields,SAFE_NOW,IMPLEMENTED,"nflverse_player_context_display_artifact.csv, schema manifest",Rendered in NFLVerse Player Context tab for safe joined rows only,No injury-risk score medical projection comeback projection or healthy inference
PC-014,Use current HQ identity join status for Player Compare display,Current HQ player context artifact has 240 safe rows and 54 identity-review rows,SAFE_NOW,IMPLEMENTED_WITH_REVIEW_GATE,"nflverse_player_context_display_artifact.csv, schema manifest",SAFE_NOW rows display context; NEED_IDENTITY_REVIEW rows show only Needs identity review,Identity proposals are not approved joins and are not consumed
PC-015,Use nflverse context to change ranks/sorts/model inputs,NFLVerse facts are display/review-only until explicit model gate,NEED_MODEL_GATE,DO_NOT_IMPLEMENT,Future model/source-truth gate,Documented only,Requires explicit model/rank approval gate
PC-016,"New score, hidden ranking logic, trade/pick value, injury-risk score, medical projection, ADP decision logic",Directly barred by mission and guardrails,BLOCKED,DO_NOT_IMPLEMENT,None,Documented as blocked,Hard prohibition
